rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
32,25.0,Planning Analytics Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Business Analytics,https://yourlearning.ibm.com/activity/PLAN-E6E681E8543D,https://learn.ibm.com/course/view.php?id=11303
33,25.0,SPSS Modeler Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Business Analytics,https://yourlearning.ibm.com/activity/PLAN-0528BC82DF47,https://learn.ibm.com/course/view.php?id=11943
34,25.0,watsonx BI Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Business Analytics,https://yourlearning.ibm.com/activity/PLAN-AAF2576E9310,https://learn.ibm.com/course/view.php?id=17974
35,25.0,Cloud Pak for Business Automation Sales Foundation V2,L1-Foundation,new_paths,Data Platform,AI Productivity,Workflow Automation,https://yourlearning.ibm.com/activity/PLAN-9EFCCE0B38A9,https://learn.ibm.com/course/view.php?id=10693
36,25.0,Decision Intelligence Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Workflow Automation,https://yourlearning.ibm.com/activity/PLAN-C3AC3CC70D46,https://learn.ibm.com/course/view.php?id=18216
37,25.0,Business Automation Manager Open Editions Sales Foundation,L1-Foundation,new_paths,Data Platform,AI Productivity,Workflow Automation,https://yourlearning.ibm.com/activity/PLAN-A6DD18069FE4,https://learn.ibm.com/course/view.php?id=11956
38,25.0,IBM OpenPages Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Governance,https://yourlearning.ibm.com/activity/PLAN-338EF6A32DC3,https://learn.ibm.com/course/view.php?id=13460
39,25.0,watsonx.governance Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Governance,https://yourlearning.ibm.com/activity/PLAN-B62194AF4AFC,https://learn.ibm.com/course/view.php?id=15813
40,25.0,watsonx.ai Data Preparation Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Tools,https://yourlearning.ibm.com/activity/PLAN-1AABF3EE3B87,https://learn.ibm.com/enrol/index.php?id=16593
41,25.0,watsonx.ai Generative AI Models Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Tools,https://yourlearning.ibm.com/activity/PLAN-2280E415479E,https://learn.ibm.com/course/view.php?id=16784
42,25.0,watsonx.ai Generative AI Tools Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Tools,https://yourlearning.ibm.com/activity/PLAN-071EF0DD95F6,https://learn.ibm.com/enrol/index.php?id=16592
43,25.0,watsonx.ai Data Science and MLOps Sales Foundation,L1-Foundation,new_paths,Data Platform,AI/ML Ops,AI Tools,https://yourlearning.ibm.com/activity/PLAN-23383EABC005,https://learn.ibm.com/course/view.php?id=13413
44,10,Cloud Pak for Applications Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-F869A125EDFC,https://learn.ibm.com/course/view.php?id=16779
45,10,DevOps Loop Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-2F74FA3C5FF4,https://learn.ibm.com/course/view.php?id=17623
46,10,Enterprise Application Runtimes (EAR) Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-362FDA9A1B80,https://learn.ibm.com/course/view.php?id=17909
47,10,Spectrum Computing Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-B7A604D31D5B,https://learn.ibm.com/course/view.php?id=11751
48,10,WebSphere Automation Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-C42D60963A5D,https://learn.ibm.com/course/view.php?id=11655
49,10,WebSphere Liberty Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Development,https://yourlearning.ibm.com/activity/PLAN-D7A47A76E999,https://learn.ibm.com/course/view.php?id=18279
50,10,API Connect Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-393D10530655,https://learn.ibm.com/course/view.php?id=17685
51,10,Cloud Pak for Integration Sales Foundation V2,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-60913ECADA44,https://learn.ibm.com/course/view.php?id=10112
52,10,Event Automation Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-503E1AE66737,https://learn.ibm.com/course/view.php?id=13336
53,10,IBM MQ Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-6AC89DAB4595,https://learn.ibm.com/course/view.php?id=13339
